"NCBI","name","oralcavity_genus_prevalence","nasalcavity_genus_prevalence","stool_genus_prevalence"
"    209","Helicobacter",0,0,0.00681481481481482
"  83654","Leclercia",0,0,0.00681481481481482
"    568","Hafnia",0,0,0.00651851851851852
"   2740","Peptococcus",0,0,0.00562962962962963
"1849828","Paeniclostridium",0,0,0.00562962962962963
"1080709","Methanomassiliicoccus",0,0,0.00474074074074074
"2692113","Gleimia",0,0,0.00474074074074074
"  57493","Kocuria",0,0,0.00474074074074074
" 447792","Phytobacter",0,0,0.00444444444444444
" 196082","Parascardovia",0,0,0.00414814814814815
"   1743","Propionibacterium",0,0,0.00414814814814815
"2055876","Metakosakonia",0,0,0.00414814814814815
" 697279","Bavariicoccus",0,0,0.00414814814814815
"2692118","Winkia",0,0,0.00414814814814815
" 698776","Cellulosilyticum",0,0,0.00385185185185185
" 420345","Lactonifactor",0,0,0.00325925925925926
" 264995","Anaerofustis",0,0,0.00325925925925926
" 653683","Anaerosporobacter",0,0,0.00325925925925926
"1573534","Faecalitalea",0,0,0.00296296296296296
" 168808","Sneathia",0,0,0.00296296296296296
"1582879","Ezakiella",0,0,0.00296296296296296
"  53335","Pantoea",0,0,0.00296296296296296
"   4930","Saccharomyces",0,0,0.00266666666666667
"    586","Providencia",0,0,0.00266666666666667
"2005359","Faecalicatena",0,0,0.00237037037037037
"1843210","Anaerocolumna",0,0,0.00237037037037037
" 501783","Cloacibacterium",0,0,0.00237037037037037
"1276290","Caldibacillus",0,0,0.00237037037037037
"1635148","Sanguibacteroides",0,0,0.00207407407407407
"   1375","Aerococcus",0,0,0.00207407407407407
"1069494","Trueperella",0,0,0.00207407407407407
"1892380","Harryflintia",0,0,0.00177777777777778
"1637257","Mageeibacillus",0,0,0.00177777777777778
"  69965","Macrococcus",0,0,0.00177777777777778
"    629","Yersinia",0,0,0.00177777777777778
"  59732","Chryseobacterium",0,0,0.00177777777777778
"  57479","Microvirgula",0,0,0.00177777777777778
" 113286","Pseudoramibacter",0,0,0.00177777777777778
"2055880","Pseudescherichia",0,0,0.00177777777777778
"   2129","Ureaplasma",0,0,0.00148148148148148
" 674963","Succinatimonas",0,0,0.00148148148148148
"1649295","Franconibacter",0,0,0.00148148148148148
" 203470","Tepidiphilus",0,0,0.00148148148148148
"  70774","Hydrogenophilus",0,0,0.00148148148148148
"    497","Psychrobacter",0,0,0.00148148148148148
"  52784","Anaerofilum",0,0,0.00118518518518519
" 638847","Pyramidobacter",0,0,0.00118518518518519
"2767881","Fructilactobacillus",0,0,0.00118518518518519
"2743582","Peptacetobacter",0,0,0.00118518518518519
"2767891","Schleiferilactobacillus",0,0,0.00118518518518519
"  80865","Delftia",0,0,0.00118518518518519
" 413496","Cronobacter",0,0,0.00118518518518519
" 180162","Cetobacterium",0,0,0.00118518518518519
"    265","Paracoccus",0,0,0.00118518518518519
"     22","Shewanella",0,0,0.00118518518518519
" 165695","Sphingobium",0,0,0.00118518518518519
"   2745","Halomonas",0,0,0.00118518518518519
"2767890","Paucilactobacillus",0,0,0.00118518518518519
"    846","Oxalobacter",0,0,0.000888888888888889
" 508459","Cloacibacillus",0,0,0.000888888888888889
"1774128","Murimonas",0,0,0.000888888888888889
"   2747","Carnobacterium",0,0,0.000888888888888889
"1330547","Kosakonia",0,0,0.000888888888888889
"1849822","Paraclostridium",0,0,0.000888888888888889
"2303321","Superficieibacter",0,0,0.000888888888888889
"  12916","Acidovorax",0,0,0.000888888888888889
"   2053","Gordonia",0,0,0.000888888888888889
" 165697","Sphingopyxis",0,0,0.000888888888888889
"1330546","Pluralibacter",0,0,0.000888888888888889
"2100764","Mixta",0,0,0.000888888888888889
"   2038","Tropheryma",0,0,0.000888888888888889
"   1883","Streptomyces",0,0,0.000888888888888889
"   5806","Cryptosporidium",0,0,0.000888888888888889
"   2050","Mobiluncus",0,0,0.000592592592592593
"  28263","Arcanobacterium",0,0,0.000592592592592593
"2895509","Metamycoplasma",0,0,0.000592592592592593
"1918540","Muribaculum",0,0,0.000592592592592593
